Action;Bool All;Num;Level;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_3_A14;;;;#;;;;;;;;;;;;;;x
IsIW;;13;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A15;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;732;39;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_3_A16;;;;#;;;;;;;;;;;;;;x
IsIW;;14;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;685;484;;;#;;;;;;;;;;;;;;x
IsIW;;26;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A17;;;;#;;;;;;;;;;;;;;x
CenterMap;;528;;;;;;;;;;;;;;;;;;;;x
SetProvinceIW;;;;499;;;;;;;;;;;;;;;;;;x
AddArrowsPid;;;;499;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A18;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;685;380;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A19;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;670;400;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;685;420;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;700;440;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A20;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;685;460;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A21;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPos;;;;685;485;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A22;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_3_A23;;;;#;;;;;;;;;;;;;;x
EndTutorial;;;;;;;;;;;;;;;;;;;;;;x
