Action;Bool All;Num;Level;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data;Data
AddArrowsPos;;;;703;470;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_5_A14;;;;#;;;;;;;;;;;;;;x
CheckNumArmies;;2;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;559;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_5_A15;;;;#;;;;;;;;;;;;;;x
IsIW;;8;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;559;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;615;172;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A16;;;;#;;;;;;;;;;;;;;x
IsIW;;24;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
AddArrowsPos;;;;687;411;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A17;;;;#;;;;;;;;;;;;;;x
IsIW;;17;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
CenterMap;;582;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;559;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A18;;;;#;;;;;;;;;;;;;;x
IsIW;;8;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPos;;;;614;106;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A19;;;;#;;;;;;;;;;;;;;x
IsIW;;11;;;;;;#;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_5_A20;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A21;;;;#;;;;;;;;;;;;;;x
IsIW;;8;;;;;;#;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;600;;;;#;;;;;;;;;;;;;;x
CenterMap;;599;;;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A22;;;;#;;;;;;;;;;;;;;x
FleetSelected;;1;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;651;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A23;;;;#;;;;;;;;;;;;;;x
FleetIn;;651;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A24;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;599;;;;#;;;;;;;;;;;;;;x
ArmySelected;;1;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPid;;;;651;;;;#;;;;;;;;;;;;;;x
ArmyIn;;0;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;650;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A25;;;;#;;;;;;;;;;;;;;x
ArmyIn;;650;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
CenterMap;;598;;;;;;;;;;;;;;;;;;;;x
AddArrowsPid;;;;602;;;;#;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A26;;;;#;;;;;;;;;;;;;;x
AirSelected;;1;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
CenterMap;;587;;;;;;;;;;;;;;;;;;;;x
AddArrowsPid;;;;588;;;;#;;;;;;;;;;;;;;x
AirIn;;588;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_5_A27;;;;#;;;;;;;;;;;;;;x
AddArrowsPid;;;;588;;;;#;;;;;;;;;;;;;;x
CenterMap;;595;;;;;;;;;;;;;;;;;;;;x
AddMessage;;;;TUTORIAL_5_A28;;;;#;;;;;;;;;;;;;;x
AirSelected;;1;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
AddArrowsPid;;;;597;;;;#;;;;;;;;;;;;;;x
AirIn;;0;;;;;;;;;;;;;;;;;;;;x
RemoveArrows;;;;;;;;#Clean up;;;;;;;;;;;;;;x
RemoveMessage;;;;;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_5_A29;;;;#;;;;;;;;;;;;;;x
ShowMessage;;;;TUTORIAL_5_A30;;;;#;;;;;;;;;;;;;;x
EndTutorial;;;;;;;;#Clean up;;;;;;;;;;;;;;x
