32;Marshall Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;764;3777;764;3777;764;3777;764;3777;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;826;3744;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
33;Sea of Palmyra;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1373;3614;1373;3614;1373;3614;1373;3614;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1399;3639;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
34;Palmyra;;;America;Tropical;jungle;;;40;;3;33;1;0;0;0;0;0;1329;3661;1329;3661;9429;2396;1412;3719;11;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1331;3665;1413;3726;1524;3888;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
35;Cabinda;;;Africa;Tropical;clear;;;60;;2;1139;0;0;0;0;0;0;9932;4829;9980;4821;1412;3732;1412;3732;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;9944;4820;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
36;Kigali ;;;Africa;Tropical;jungle;;;20;;0;0;1;0;0;0;0;0;1296;3675;1296;3675;1296;3675;1296;3675;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;11028;4641;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
37;Lindi;;;Africa;Tropical;jungle;;;20;;0;0;1;0;0;0;0;0;11294;5092;11295;5081;1531;3759;1531;3759;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;11327;5124;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
38;Blantyre;;;Africa;Tropical;jungle;;;20;;0;0;0;0;0;0;0;0;11184;5320;11174;5307;1405;3879;1405;3879;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;11179;5331;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
39;Port Am�lia ;;;Africa;Tropical;jungle;;;30;;0;0;0;0;0;0;0;0;11418;5199;11399;5197;1553;3919;1553;3919;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;11392;5176;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
40;Gilbert Islands;;;America;Tropical;clear;;;40;;3;43;1;0;0;0;0;0;222;4413;191;4382;239;4356;211;4418;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;92;4204;106;4268;122;4317;140;4355;166;4338;260;4376;216;4409;207;4450;242;4456;262;4477;300;4540;-1;-1
41;#NA;;;;Tropical;clear;;;0;;0;52;0;0;0;0;0;0;298;4543;298;4543;278;4566;298;4543;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
42;#NA;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;9472;4207;9472;4207;9472;4207;9472;4207;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
43;Sea of Tarawa;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;195;4400;195;4400;195;4400;195;4400;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;317;4341;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
44;Baker Sea North;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;933;4142;933;4142;933;4142;933;4142;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;938;4136;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
45;Baker;;;America;Tropical;clear;;;40;;3;44;1;0;0;0;0;0;882;4209;882;4209;890;4179;873;4225;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;885;4205;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
46;Kiribat Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1530;4434;1530;4434;1530;4434;1530;4434;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1595;4342;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;
47;Sea of Phoenix;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;708;4584;708;4584;708;4584;708;4584;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;581;4537;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
48;Baker Sea South;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;901;4287;901;4287;901;4287;901;4287;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;914;4284;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
49;Howland Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;809;4182;809;4182;809;4182;809;4182;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;791;4171;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
50;Ellice Islands;;;America;Tropical;clear;;;40;;3;51;1;0;0;0;0;0;405;5021;399;5024;365;5005;408;5034;7;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;323;4825;316;4879;334;4969;370;4983;406;5020;422;5070;389;5078;-1;-1;-1;-1
51;Sea of Ellice Islands;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;372;4962;372;4962;372;4962;372;4962;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;467;4950;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
52;#NA;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;300;4568;300;4568;300;4568;300;4568;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
53;#NA;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;324;4813;324;4813;324;4813;324;4813;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
54;#NA;;;;Tropical;clear;;;0;;0;0;0;0;0;0;0;0;319;4856;319;4856;298;4859;319;4856;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
55;Tokelau Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;884;4941;884;4941;884;4941;884;4941;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;844;4955;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
56;Lambasa;;;America;Tropical;clear;;;40;;3;58;0;0;0;0;0;0;253;5518;243;5490;203;5518;228;5506;7;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;251;5470;147;5511;254;5527;291;5495;255;5572;-1;-1;-1;-1;-1;-1;-1;-1
57;#NA;;;;Tropical;clear;;;0;;0;0;0;0;0;0;0;0;150;5518;150;5518;105;5534;150;5518;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
58;Lambasa Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;128;5510;187;5549;128;5510;128;5510;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;108;5567;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
59;#NA;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;297;5404;297;5404;297;5404;297;5404;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
60;#NA;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;290;5588;290;5588;290;5588;290;5588;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
61;#NA;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;684;5283;684;5283;684;5283;684;5283;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
62;#NA;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;835;5282;835;5282;835;5282;835;5282;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
63;The Samoas;;;;Tropical;clear;;;40;;3;61;1;0;0;0;0;0;750;5294;744;5299;712;5312;749;5305;7;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;800;5267;739;5289;699;5277;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
64;#NA;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;406;5124;406;5124;406;5124;406;5124;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
65;Samoa Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;455;5340;455;5340;455;5340;455;5340;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;438;5315;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
66;#NA;;;;Tropical;clear;;;0;;0;0;0;0;0;0;0;0;407;5077;407;5077;378;5084;407;5077;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
67;Tahiti;;;;Tropical;clear;;;40;;3;68;1;0;0;0;0;0;1856;5479;1856;5479;1856;5479;1829;5486;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1858;5473;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
68;Moor�a Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1781;5406;1781;5406;1781;5406;1781;5406;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1780;5391;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
69;M�h�tia Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1936;5468;1936;5468;1936;5468;1936;5468;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1961;5452;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
70;Sea of Tahiti;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1822;5548;1822;5548;1822;5548;1822;5548;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1817;5560;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
71;Cook Ilands Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1256;5435;1256;5435;1256;5435;1256;5435;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1224;5483;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
72;Tonga Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1330;6153;1330;6153;1330;6153;1330;6153;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1340;6033;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
73;Koro Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;552;6102;552;6102;552;6102;552;6102;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;467;6020;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
74;Chatham Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;19231;6590;19231;6590;19231;6590;19231;6590;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;363;6702;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
75;Fredonian Straits;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;1541;6556;1541;6556;1541;6556;1541;6556;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;1703;6481;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
76;West Pacific Ridge;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2459;5676;2459;5676;2459;5676;2459;5676;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2421;5649;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
77;North Pacific Ridge;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2875;4394;2875;4394;2875;4394;2875;4394;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2867;4732;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
78;South East Pacific Basin;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;3876;3990;3876;3990;3876;3990;3876;3990;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;3666;3980;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
79;East Pacific Basin;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2999;3201;2999;3201;2999;3201;2999;3201;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2930;3020;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
80;Tijuana;;;America;Mediterranean;mountain;;;30;;3;0;1;1;0;0;0;0;3098;2136;3098;2136;3081;2194;3104;2225;0;3013;1968;2;3152;2272;2;3053;2062;2;3164;2278;4;3078;2140;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
81;Bahia Sebastian Vizcaino;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;3000;2181;3000;2181;3000;2181;3000;2181;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2984;2198;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
82;Magdalena Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;3067;2444;3048;2547;3067;2444;3067;2444;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2896;2344;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
83;Monterey Bay;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2713;1631;2713;1631;2713;1631;2713;1631;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2734;1668;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
84;Channel Islands Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2853;1870;2868;1846;2853;1870;2853;1870;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2881;1869;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
85;Ancor Sea;;;;;ocean;;;0;;0;0;0;0;0;0;0;0;2584;1650;2531;1684;2584;1650;2584;1650;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;2615;1833;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
86;Denver;;;America;Temperate;mountain;;100;70;;0;0;8;3;40;0;40;0;3778;1531;3754;1498;3754;1498;3754;1498;0;3685;1402;2;-100;-100;0;-100;-100;0;-100;-100;0;3715;1558;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
87;Albuquerque;;;America;Subtropical;desert;;100;50;;0;0;5;3;120;0;0;0;3687;1868;3738;1802;3681;1835;3681;1835;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;3649;1852;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
88;Colorado River;;;;;river;;;0;;0;0;0;0;0;0;0;0;3225;1675;3225;1675;3225;1675;3225;1675;0;-100;-100;0;-100;-100;0;-100;-100;0;-100;-100;0;3102;1654;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
89;Phoenix;;;America;Subtropical;desert;;100;50;;0;0;8;3;0;0;0;0;3297;1766;3297;1766;3297;1766;3297;1766;0;3230;1722;2;3270;1722;4;3179;1734;4;3328;1698;2;3347;1672;3260;1550;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
