SOV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
4023;Foreign Minister;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
4024;Minister of Armament;Blue Shadow;NA;RS;Undistinguished Suit;Medium;unknown;x
4025;Minister of Security;Blue Shadow;NA;RS;Undistinguished Suit;Low;unknown;x
4026;Head of Military Intelligence;Blue Shadow;NA;RS;Undistinguished Suit;Low;unknown;x
4027;Chief of Staff;K.K Rokossovsky;NA;RS;School of Manoeuvre;High;rokossovskij_k_sov;x
4028;Chief of Army;Georgij K. Zhukov;NA;PA;Armoured Spearhead Doctrine;Medium;unknown;x
4029;Chief of Navy;Nikolai Kutznetsov;NA;PA;Decisive Battle Doctrine;Medium;kuznetsov_nikolai_sov;x
4030;Chief of Air Force;P.V. Rychagov;NA;RS;Army Aviation Doctrine;Medium;unknown;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
4031;Foreign Minister;Vyacheslav Molotov;39;ST;Iron Fisted Brute;High;molotov_vyacheslav_sov;x
4032;Foreign Minister;Andrey Vyshinsky;46;ST;Cloak and Dagger Schemer;Very High;vyshinsky_andrey_sov;x
4033;Minister of Armament;Boris L. Vannikov;42;ST;Military Entrepreneur;Very High;unknown;x
4034;Minister of Security;Nikolai Yezhov;36;ST;Back Stabber;Medium;unknown;x
4035;Minister of Security;Lavrenti P. Beria;38;ST;Prince of Terror;Very High;beria_lavrentij_sov;x
4036;Head of Military Intelligence;Ivan I.Proskurov;37;ST;Dismal Enigma;High;unknown;x
4037;Head of Military Intelligence;Filip I. Golikov;40;ST;Political Specialist;Very High;golikov_sov;x
4038;Head of Military Intelligence;V.A.Novobranets;41;ST;Logistics Specialist;High;unknown;x
4039;Head of Military Intelligence;Pavel I. Meshikov;41;ST;Logistics Specialist;Very High;unknown;x
4040;Chief of Staff;Boris M. Shaposhnikov;37;ST;School of Mass Combat;Very High;shaposjnikov_boris_sov;x
4041;Chief of Staff;Kirill A. Meretskov;40;ST;School of Psychology;High;meretskov_sov;x
4042;Chief of Staff;Georgij K. Zhukov;41;ST;School of Fire Support;Medium;unknown;x
4043;Chief of Staff;Alesandr M. Vasilevskij;42;ST;School of Manoeuvre;High;vasilevskij_alexandr_sov;x
4044;Chief of Staff;Aleksei I. Antonov;45;ST;School of Manoeuvre;Very High;unknown;x
4045;Chief of Staff;Sergei M. Shtemenko;46;ST;School of Manoeuvre;High;unknown;x
4046;Chief of Army;Semen K. Timoshenko;41;ST;Armoured Spearhead Doctrine;High;timosjenko_semyon_sov;x
4047;Chief of Army;Iosif V. Stalin;41;ST;Guns and Butter Doctrine;Undying;stalin_josef_sov;x
4048;Chief of Navy;Nikolai Kutznetsov;39;ST;Decisive Battle Doctrine;High;kuznetsov_nikolai_sov;x
4049;Chief of Air Force;Aleksandr D. Loktionov;37;ST;Army Aviation Doctrine;Low;unknown;x
4050;Chief of Air Force;P.V. Rychagov;38;ST;Army Aviation Doctrine;Medium;unknown;x
4051;Chief of Air Force;Alexander Novikov;42;ST;Air Superiority Doctrine;Very High;unknown;x
4052;Head of State;Nikolai Yezhov;36;PA LE;NA;NA;unknown;x
4053;Head of Government;Nikolai Yezhov;36;PA;NA;NA;unknown;x
4054;Foreign Minister;Andrey Vyshinsky;36;PA;Cloak and Dagger Schemer;Very High;vyshinsky_andrey_sov;x
4055;Minister of Armament;Boris L. Vannikov;36;LE;Military Entrepreneur;Very Low;unknown;x
4056;Minister of Security;Nikolai Yezhov;36;PA;Back Stabber;Undying;unknown;x
4057;Head of Military Intelligence;Nikolai Yezhov;36;PA;Technical Specialist;Undying;unknown;x
4058;Chief of Staff;Boris M. Shaposhnikov;36;LE;School of Mass Combat;Very Low;shaposjnikov_boris_sov;x
4059;Chief of Army;Semen K. Timoshenko;36;LE;Armoured Spearhead Doctrine;Very Low;timosjenko_semyon_sov;x
4060;Chief of Navy;Nikolai Kutznetsov;36;LE;Decisive Battle Doctrine;Very Low;kuznetsov_nikolai_sov;x
4061;Chief of Air Force;P.V. Rychagov;36;LE;Army Aviation Doctrine;Very Low;unknown;x
