ALB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
32058;Head of Government;Sejfulla Malëskova;44;ST;NA;NA;unknown;x
32059;Foreign Minister;Eqrem Libohova;36;FA;Undistinguished Suit;Medium;unknown;x
32060;Foreign Minister;Mihal Sherko;36;LC;Great Compromiser;Medium;unknown;x
32061;Foreign Minister;Koço Tashko;39;ST;Undistinguished Suit;Medium;unknown;x
32062;Foreign Minister;Xhemil Dino;39;PA;Great Compromiser;Medium;unknown;x
32063;Foreign Minister;Mehmet Konica;43;LC;Apologetic Clerk;Medium;unknown;x
32064;Foreign Minister;Eqrem Vlora;44;PA;Undistinguished Suit;Medium;unknown;x
32065;Foreign Minister;Ibrahim Biçaku;44;PA;Apologetic Clerk;Very High;unknown;x
32066;Minister of Armament;Kolë Thaçi;36;PA;Undistinguished Suit;Medium;unknown;x
32067;Minister of Armament;Kosta Marku;36;LC;Undistinguished Suit;Medium;unknown;x
32068;Minister of Armament;Fejzi Alizoti;39;PA;Undistinguished Suit;Medium;unknown;x
32069;Minister of Armament;Qemal Vrioni;40;PA;Undistinguished Suit;Medium;unknown;x
32070;Minister of Armament;Ramadan Çitaku;41;ST;Undistinguished Suit;Very High;unknown;x
32071;Minister of Armament;Andon Beça;43;PA;Undistinguished Suit;Medium;unknown;x
32072;Minister of Armament;Kostaq Marku;43;PA;Undistinguished Suit;Medium;unknown;x
32073;Minister of Armament;Lovo Musani;43;PA;Undistinguished Suit;Medium;unknown;x
32074;Minister of Armament;Nako Spiru;43;ST;Undistinguished Suit;Medium;unknown;x
32075;Minister of Armament;Sokrat Dodbiba;43;LC;Undistinguished Suit;Medium;unknown;x
32076;Minister of Armament;Edhem Cara;44;PA;Undistinguished Suit;Medium;unknown;x
32077;Minister of Armament;Rrok Geraj;44;PA;Corrupt Kleptocrat;Medium;unknown;x
32078;Minister of Security;Musa Juka;36;PA;Crime Fighter;Medium;unknown;x
32079;Minister of Security;Zef Kadarja;36;LC;Undistinguished Suit;Medium;unknown;x
32080;Minister of Security;Maliq Bushati;39;FA;Undistinguished Suit;Medium;unknown;x
32081;Minister of Security;Mustafa Mërlika;39;LC;Compassionate Gentleman;Very High;unknown;x
32082;Minister of Security;Eqrem Libohova;43;FA;Undistinguished Suit;Medium;unknown;x
32083;Minister of Security;Haxhi Lleshi;43;ST;Undistinguished Suit;Medium;unknown;x
32084;Minister of Security;Koçi Xoxe;43;ST;Prince of Terror;High;unknown;x
32085;Minister of Security;Kol Bibë Mirakaj;43;FA;Undistinguished Suit;Very High;unknown;x
32086;Minister of Security;Mark Gjonmarkaj;43;PA;Undistinguished Suit;Medium;unknown;x
32087;Minister of Security;Mehmet Shehu;43;ST;Prince of Terror;Very High;unknown;x
32088;Minister of Security;Xhafer Deva;43;PA;Man of the People;Medium;unknown;x
32089;Minister of Security;Fiqri Dine;44;PA;Undistinguished Suit;Very High;unknown;x
32090;Minister of Security;Ibrahim Biçaku;44;PA;Compassionate Gentleman;Very High;unknown;x
32091;Chief of Staff;Mehmet Shehu;39;ST;Undistinguished Suit;Very High;unknown;x
32092;Chief of Staff;Abaz Kupi;40;PA;School of Defence;Very High;unknown;x
32093;Chief of Staff;Spiro Moisiu;41;PA;School of Mass Combat;High;unknown;x
32094;Chief of Staff;Midhat Frashëri;42;LC;Undistinguished Suit;Medium;unknown;x
32095;Chief of Staff;Enver Hoxha;44;ST;Undistinguished Suit;Very High;hoxha_enver_alb;x
32096;Chief of Army;Qemal Stafa;39;LE;Guns and Butter Doctrine;High;unknown;x
32097;Chief of Army;Vasil Shanto;39;ST;Guns and Butter Doctrine;Very High;unknown;x
32098;Chief of Army;Abaz Kupi;40;PA;Elastic Defense Doctrine;Very High;unknown;x
32099;Chief of Army;Gjin Marku;41;ST;Guns and Butter Doctrine;Medium;unknown;x
32100;Chief of Army;Ali Klissura;42;LC;Guns and Butter Doctrine;Medium;unknown;x
32101;Chief of Army;Haxhi Lleshi;43;ST;Guns and Butter Doctrine;Very High;unknown;x
32102;Chief of Army;Mehmet Shehu;43;ST;Guns and Butter Doctrine;Very High;unknown;x
32103;Chief of Army;Ymer Dishnica;43;ST;Guns and Butter Doctrine;Medium;unknown;x
