BRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Shadow RS Cabinet;;;;;;;x
34031;Head of State;Yedo Fiuza;NA;RS LWR LE ST;NA;NA;unknown;x
34032;Head of Government;Yedo Fiuza;NA;RS;NA;NA;unknown;x
34033;Foreign Minister;Francisco Mangabeira;NA;RS;Great Compromiser;High;unknown;x
34034;Minister of Armament;Café Filho;NA;RS;Theoretical Scientist;High;unknown;x
34035;Minister of Security;Manuel Venâncio;NA;ST;Man of the People;High;unknown;x
34036;Head of Military Intelligence;Manuel Venâncio;NA;ST;Technical Specialist;High;unknown;x
34037;Chief of Staff;Magalhães Barata;NA;RS;School of Manoeuvre;Medium;unknown;x
34038;Chief of Army;Magalhães Barata;NA;RS;Static Defense Doctrine;Medium;unknown;x
34039;Chief of Navy;Moreira Lima;NA;RS;Open Seas Doctrine;Medium;unknown;x
34040;Chief of Air Force;Aparicio Torelly;NA;RS;Air Superiority Doctrine;Medium;unknown;x
;Shadow Fascist Cabinet;;;;;;;x
34041;Head of State;Plinio Salgado;NA;FA;NA;NA;unknown;x
34042;Head of Government;Plinio Salgado;NA;FA;NA;NA;unknown;x
34043;Foreign Minister;Miguel Costas;NA;FA;Iron Fisted Brute;High;unknown;x
34044;Minister of Armament;Gustavo Barroso;NA;FA;Military Entrepreneur;Very High;unknown;x
34045;Minister of Security;Richardo Cassiano;NA;FA;Efficient Sociopath;Very High;unknown;x
34046;Head of Military Intelligence;Richardo Cassiano;NA;FA;Political Specialist;Very High;unknown;x
34047;Chief of Staff;Newton Cavalcanti;NA;FA;School of Psychology;High;unknown;x
34048;Chief of Army;Newton Cavalcanti;NA;FA;Decisive Battle Doctrine;High;unknown;x
34049;Chief of Navy;Raymundo Padilha;NA;FA;Decisive Battle Doctrine;Very High;unknown;x
34050;Chief of Air Force;Mourão Filho;NA;FA;Carpet Bombing Doctrine;Very High;unknown;x
;Shadow Communist Cabinet;;;;;;;x
34051;Head of State;Luis Carlos Prestes;NA;ST LE LWR RS;NA;NA;unknown;x
34052;Head of Government;Luis Carlos Prestes;NA;ST;NA;NA;unknown;x
34053;Foreign Minister;Henry Berger;NA;ST;Ideological Crusader;High;unknown;x
34054;Minister of Armament;Café Filho;NA;RS;Military Entrepreneur;High;unknown;x
34055;Minister of Security;Abguar Bastos;NA;ST;Prince of Terror;High;unknown;x
34056;Head of Military Intelligence;Herculino Carcardo;NA;ST;Political Specialist;High;unknown;x
34057;Chief of Staff;Luis Carlos Prestes;NA;ST;School of Mass Combat;Undying;unknown;x
34058;Chief of Army;Silo Meireles;NA;ST;Elastic Defense Doctrine;Very High;unknown;x
34059;Chief of Navy;Alvaro de Souza;NA;ST;Open Seas Doctrine;Very High;unknown;x
34060;Chief of Air Force;Agliberto Vieira;NA;ST;Army Aviation Doctrine;Very High;unknown;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
34061;Chief of Staff;Gaspar Dutra;1941;LC;School of Defense;Medium;unknown;x
34062;Chief of Army;Gaspar Dutra;1941;LC;Static Defense Doctrine;Medium;unknown;x
