FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
29057;Head of State;Juho K. Paasikivi;46;PA LC CE RS LWR;NA;NA;unknown;x
29058;Head of Government;Antti V. Hackzell;44;PA;NA;NA;hackzell_antti_fin;x
29059;Head of Government;Urho J. Castrén;44;PA;NA;NA;castren_urho_fin;x
29060;Head of Government;Juho K. Paasikivi;44;LC;NA;NA;unknown;x
29061;Head of Government;Mauno Pekkala;46;RS;NA;NA;unknown;x
29062;Foreign Minister;Eino R. Holsti;36;CE;Undistinguished Suit;Medium;unknown;x
29063;Foreign Minister;Kaarle V. Voionmaa;38;CE;Undistinguished Suit;Medium;unknown;x
29064;Foreign Minister;Juho E. Erkko;38;CE;Undistinguished Suit;Medium;erkko_eljas_fin;x
29065;Foreign Minister;Rolf J. Witting;40;CE;Undistinguished Suit;Medium;witting_rolf_fin;x
29066;Foreign Minister;Carl Ramsay;43;CE;Undistinguished Suit;Medium;unknown;x
29067;Foreign Minister;Carl J. Enckell;44;CE;Undistinguished Suit;Medium;unknown;x
29068;Minister of Armament;Juho Niukkanen;37;CE;Undistinguished Suit;Medium;unknown;x
29069;Minister of Armament;Karl R. Waldén;40;PA;Undistinguished Suit;Medium;unknown;x
29070;Minister of Armament;Väinö L. Valve ;44;CE;Undistinguished Suit;Medium;unknown;x
29071;Minister of Armament;Mauno Pekkala;45;RS;Undistinguished Suit;Medium;unknown;x
29072;Minister of Security;Urho K. Kekkonen;37;RS;Undistinguished Suit;Medium;unknown;x
29073;Minister of Security;Ernst V. Lorentz;39;CE;Undistinguished Suit;Medium;unknown;x
29074;Minister of Security;Toivo J. Horelli;41;CE;Undistinguished Suit;Medium;unknown;x
29075;Minister of Security;Leo R. Ehrnrooth;43;CE;Undistinguished Suit;Medium;unknown;x
29076;Minister of Security;Kaarlo H. Hillilä;44;CE;Undistinguished Suit;Medium;unknown;x
29077;Minister of Security;Yrjö K. Leino;45;CE;Undistinguished Suit;Medium;leino_yrjo_fin;x
29078;Minister of Armament;KA Fagerholm;43;RS;Undistinguished Suit;Medium;fagerholm_ka_fin;x
