GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
18029;Chief of Navy;Red Shadow;NA;LWR;Undistinguished Suit;High;unknown;x
18030;Chief of Air Force;Red Shadow;NA;LWR;Undistinguished Suit;High;unknown;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
18031;Head of State;Archbishop Damaskinos;40;LC CE;NA;NA;damaskinos_gre;x
18032;Head of Government;Ioannis Metaxas;NA;PA;NA;NA;metaxas_ioannis2_gre;x
18033;Head of Government;Georgias Tsolakoglou;41;PA;NA;NA;unknown;x
18034;Head of Government;Konstantinos Logothetopoulos;42;PA;NA;NA;unknown;x
18035;Head of Government;Ioannis Rallis;43;PA;NA;NA;unknown;x
18036;Head of Government;Konstanos Tsalderis;45;PA;NA;NA;unknown;x
18037;Head of Government;Emmanouel Tsouderos;41;LC;NA;NA;unknown;x
18038;Head of Government;Andreas Michalakoupolos;NA;LC;NA;NA;unknown;x
18039;Head of Government;Georgios Papandreou;NA;LC;NA;NA;papandreou_george_gre;x
18040;Head of Government;Nikolaos Plastiras;46;CE;NA;NA;plastiras_nicolas_gre;x
18041;Head of Government;Alexandros Koryzis;46;LWR;NA;NA;unknown;x
18042;Head of Government;Dimitrios Partsalidis;47;LWR;NA;NA;unknown;x
18043;Foreign Minister;Ioannis Metaxas;NA;PA;Iron Fisted Brute;Very High;metaxas_ioannis2_gre;x
18044;Foreign Minister;Georgias Tsolakoglou;41;PA;Undistinguished Suit;Very High;unknown;x
18045;Foreign Minister;Konstantinos Logothetopoulos;42;PA;Undistinguished Suit;Very High;unknown;x
18046;Foreign Minister;Ioannis Rallis;43;PA;Undistinguished Suit;Very High;unknown;x
18047;Foreign Minister;Konstanos Tsalderis;45;PA;Undistinguished Suit;Very High;unknown;x
18048;Foreign Minister;Emmanouel Tsouderos;41;LC;Undistinguished Suit;Very High;unknown;x
18049;Foreign Minister;Andreas Michalakoupolos;NA;LC;Undistinguished Suit;Very High;unknown;x
18050;Foreign Minister;Georgios Papandreou;NA;LC;Ideological Crusader;Very High;papandreou_george_gre;x
18051;Foreign Minister;Nikolaos Plastiras;46;CE;Undistinguished Suit;Very High;plastiras_nicolas_gre;x
18052;Foreign Minister;Alexandros Koryzis;46;LWR;Undistinguished Suit;Very High;unknown;x
18053;Foreign Minister;Dimitrios Partsalidis;47;LWR;Undistinguished Suit;Very High;unknown;x
18054;Minister of Armament;Theodoros Skylakakis;NA;PA;Undistinguished Suit;Medium;unknown;x
18055;Minister of Armament;Ioannis Douriatis;37;PA;Undistinguished Suit;Medium;unknown;x
18056;Minister of Armament;Panagiotis Kanellopoulos;NA;LC;Undistinguished Suit;Medium;unknown;x
18057;Minister of Armament;Dimitris Gounaris;NA;LC;Undistinguished Suit;Medium;unknown;x
18058;Minister of Armament;Alexandros Mylonas;NA;LC;Undistinguished Suit;Medium;unknown;x
18059;Minister of Security;Konstantinos Maniadakis;NA;PA;Prince of Terror;High;unknown;x
18060;Minister of Security;Panagiotis Kanellopoulos;NA;LC;Undistinguished Suit;Medium;unknown;x
18061;Minister of Security;Dimitris Gounaris;NA;LC;Undistinguished Suit;Medium;unknown;x
18062;Minister of Security;Alexandros Mylonas;NA;LC;Undistinguished Suit;Medium;unknown;x
