FRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
2038;Foreign Minister;Augustin Paul-Boncour;38;CE;Ideological Crusader;Medium;unknown;x
2039;Foreign Minister;Georges Bonnet;37;CE;Great Compromiser;Medium;bonnet_georges_fra;x
2040;Minister of Armament;Georges Bonnet;37;CE;Resource Industrialist;Medium;bonnet_georges_fra;x
2041;Minister of Armament;Paul Marchandeau;38;RS;Administrative Genius;Medium;unknown;x
2042;Minister of Armament;Edouard Daladier;38;RS;Laissez Faires Capitalist;Low;daladier_edouard4_fra;x
2043;Minister of Security;Roger Salengro;36;LWR;Silent Lawyer;Medium;unknown;x
2044;Minister of Security;Louis-George Mandel;40;CE;Crime Fighter;Low;mandel_fra;x
2045;Head of Military Intelligence;Jean Provoust;40;CE;Logistics Specialist;High;unknown;x
2046;Chief of Staff;Pierre-Armand Billotte;42;CE;School of Manoeuvre;Medium;bilotte_fra;x
2047;Chief of Staff;Maxime Weygand;40;LC;School of Defence;Very High;weygand;x
2048;Chief of Army;Jean-Marie Lattre;44;LC;Armoured Spearhead Doctrine;Medium;Jean_Marie_Lattre;x
2049;Chief of Army;Louis Colson;39;CE;Elastic Defence Doctrine;Low;unknown;x
2050;Chief of Army;Henri Caillault;40;CE;Static Defence Doctrine;Medium;unknown;x
2051;Chief of Navy;M. Pietri;36;RS;Open Seas Doctrine;Medium;unknown;x
2052;Chief of Navy;Alphonse Gastier-Duparc;36;RS;Base Control Doctrine;High;unknown;x
2053;Chief of Navy;César Campinchi;37;CE;Decisive Naval Doctrine;Very High;Cesar_Campinchi;x
2054;Chief of Navy;William Bertrand;38;RS;Decisive Naval Doctrine;High;unknown;x
2055;Chief of Air Force;Marcel Deat;36;RS;Air Superiority Doctrine;Low;unknown;x
2056;Chief of Air Force;Pierre Cot;36;RS;Carpet Bombing Doctrine;Very High;cot_pierre_fra;x
2057;Chief of Air Force;Guy La Chambre;38;CE;Vertical Envelopment Doctrine;Medium;unknown;x
2058;Chief of Air Force;Joseph Vuillemin;38;CE;Air Superiority Doctrine;Very High;vuillemin_fra;x
2059;Head of Government;Marcel Cachin;38;ST;NA;NA;unknown;x
2060;Foreign Minister;Marcel Cachin;38;ST;Biased Intellectual;Very High;unknown;x
2061;Minister of Security;Henri Gourdeaux;38;ST;Silent Lawyer;High;unknown;x
2062;Minister of Security;Jean-Marie Clamamus;38;ST;Back Stabber;Medium;unknown;x
2063;Minister of Armament;Daniel Renoult;38;ST;Theoretical Scientist;Medium;Daniel_Renoult.bmp;x
2064;Head of Military Intelligence;Henri Gourdeaux;38;ST;Technical Specialist;High;unknown;x
2065;Head of Military Intelligence;Jean-Marie Clamamus;38;ST;Dismal Enigma;Medium;unknown;x
2066;Head of State;Charles de Gaulle;40;CE LC RS;NA;NA;degaulle_charles_fra;x
2067;Chief of Staff;Charles de Gaulle;40;CE;School of Manoeuvre;High;degaulle_charles_fra;x
