ENG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
1068;Chief of Staff;Sir Edmund Ironside;39;LC;School of Manoeuvre;Very High;ironside_edmund_eng;ENG
1069;Chief of Staff;Sir John Dill;40;LC;School of Manoeuvre;Very High;dill_john2_eng;ENG
1070;Chief of Staff;Sir Alan Brooke;41;LC;School of Manoeuvre;Very High;brooke_alan_eng;ENG
1071;Chief of Staff;Sir Bernard Montgomery;46;LC;School of Fire Support;Medium;montgomery_bernard_eng;ENG
1072;Chief of Army;Sir Cyril Deverell;36;LC;Guns and Butter Doctrine;Very High;unknown;ENG
1073;Chief of Army;Lord John Gort;37;LC;Armoured Spearhead Doctrine;Very High;gort_john2_eng;ENG
1074;Chief of Army;Sir Edmund Ironside;39;LC;Elastic Defense Doctrine;Very High;ironside_edmund_eng;ENG
1075;Chief of Army;Sir John Dill;40;LC;Elastic Defense Doctrine;Very High;dill_john2_eng;ENG
1076;Chief of Army;Sir Alan Brooke;41;LC;Armoured Spearhead Doctrine;Very High;brooke_alan_eng;ENG
1077;Chief of Army;Sir Bernard Montgomery;46;LC;Decisive Battle Doctrine;Medium;montgomery_bernard_eng;ENG
1078;Chief of Navy;Sir Roger Backhouse;38;LC;Open Seas Doctrine;High;unknown;ENG
1079;Chief of Navy;Sir Dudley Pound;39;LC;Decisive Battle Doctrine;Very High;pound_dudley_eng;ENG
1080;Chief of Navy;Sir Andrew Cunningham;43;LC;Power Projection Doctrine;High;cunningham_andrew3_eng;ENG
1081;Chief of Navy;Sir John Cunningham;46;LC;Power Projection Doctrine;Very High;cunningham_john-henry_eng;ENG
1082;Chief of Air Force;Sir Cyril Newall;37;LC;Carpet Bombing Doctrine;Very High;newall_cyril_eng;ENG
1083;Chief of Air Force;Sir Charles Portal;40;LC;Carpet Bombing Doctrine;Very High;portal_charles_eng;ENG
1084;Chief of Air Force;Sir Arthur Tedder;46;LC;Army Aviation Doctrine;Very High;tedder_arthur2_eng;ENG
