AUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
23041;Head of State;Josef Bürckel;38;NS;NA;NA;buerckel_josef_aus;x
23042;Head of State;Willi Frank;38;ST;NA;NA;unknown;x
23043;Head of State;Josef Teufl;40;LE;NA;NA;unknown;x
23044;Head of Government;Ludwig Huelgerth;36;LC PA;NA;NA;huelgerth_ludwig_aus;x
23045;Head of Government;Edmund Glaise-Horstenau;38;NS;NA;NA;glaise_horstenau_edmund_aus;x
23046;Head of Government;Josef Bürckel;40;NS;NA;NA;buerckel_josef_aus;x
23047;Head of Government;Willi Frank;38;ST;NA;NA;unknown;x
23048;Head of Government;Josef Teufl;40;LE;NA;NA;unknown;x
23049;Foreign Minister;Kurt Schuschnigg;36;PA;Apologetic Clerk;Very High;schuschnigg_kurt_aus;x
23050;Foreign Minister;Guido Schmidt;36;PA;Undistinguished Suit;High;unknown;x
23051;Minister of Armament;Ludwig Draxler;36;PA;Laissez Fairez Capitalist;High;unknown;x
23052;Minister of Armament;Rudolf Neumayer;36;NS;Resource Industrialist;Medium;unknown;x
23053;Minister of Armament;Hams Fischböck;38;NS;Military Entrepreneur;High;unknown;x
23054;Minister of Security;Kurt Schuschnigg;36;PA;Man of the People;High;schuschnigg_kurt_aus;x
23055;Minister of Security;Edmund Glaise-Horstenau;36;NS;Compassionate Gentleman;Medium;glaise_horstenau_edmund_aus;x
23056;Minister of Security;Arthur Seyss-Inquart;38;NS;Efficient Sociopath;High;seyss-inquart_arthur_aus;x
23057;Chief of Staff;Ernst Walter;36;PA;School of Defense;High;unknown;x
23058;Chief of Staff;Wilhelm Zehner;36;LC;School of Mass Combat;High;zehner_wilhelm_aus;x
23059;Chief of Staff;Alfred Hubicki;36;NS;School of Manoeuvre;Medium;unknown;x
23060;Chief of Staff;Eugen Beyer;36;NS;School of Psychology;Medium;unknown;x
23061;Chief of Staff;Emil Hickmann;36;LC;Undistinguished Suit;High;unknown;x
