EST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
26033;Chief of Army;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
26034;Chief of Navy;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
26035;Chief of Air Force;Red Shadow;NA;ST;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
26036;Head of State;Jüri Uluots;44;LC CE RS;Undistinguished Suit;Medium;unknown;x
26037;Head of Government;Kaarel Eenpalu;38;CE;Undistinguished Suit;Medium;unknown;x
26038;Head of Government;Jüri Uluots;39;LC;Undistinguished Suit;Medium;unknown;x
26039;Head of Government;Kaarel Liidak;44;CE;Undistinguished Suit;Medium;unknown;x
26040;Head of Government;Otto Tief ;44;CE;Undistinguished Suit;Medium;unknown;x
26041;Head of Government;Johannes Lauristin;40;LWR;Undistinguished Suit;Medium;unknown;x
26042;Head of Government;Oskar Sepre;42;ST;Undistinguished Suit;Medium;unknown;x
26043;Head of Government;Arnold Veimer;44;LE;Undistinguished Suit;Medium;unknown;x
26044;Foreign Minister;Friedrich Karl Akel;36;CE;Undistinguished Suit;Medium;unknown;x
26045;Foreign Minister;Karl Selter;38;CE;Undistinguished Suit;Medium;selter2_est;x
26046;Foreign Minister;Ants Piip;39;CE;Undistinguished Suit;Medium;unknown;x
26047;Foreign Minister;August Rei;36;RS;Undistinguished Suit;Medium;unknown;x
26048;Foreign Minister;Hans Kruus;44;ST;Undistinguished Suit;Medium;unknown;x
26049;Minister of Armament;Leo Sepp;38;CE;Undistinguished Suit;Medium;unknown;x
26050;Minister of Armament;Hugo Pärtelpoeg;44;CE;Undistinguished Suit;Medium;unknown;x
26051;Minister of Armament;Paul Keerdo;40;ST;Undistinguished Suit;Medium;unknown;x
26052;Minister of Security;Richard Veermaa;38;CE;Undistinguished Suit;Medium;unknown;x
26053;Minister of Security;August Jürima;39;CE;Undistinguished Suit;Medium;unknown;x
26054;Minister of Security;Johannes Klesment;44;CE;Undistinguished Suit;Medium;unknown;x
26055;Minister of Security;Boris Kumm;40;ST;Undistinguished Suit;Medium;unknown;x
26056;Minister of Security;Andres Murro;41;ST;Undistinguished Suit;Medium;unknown;x
26057;Minister of Security;Aleksander Resev;44;ST;Undistinguished Suit;Medium;unknown;x
26058;Chief of Staff;Nikolai Reek;39;CE;Undistinguished Suit;Medium;unknown;x
26059;Chief of Staff;Johan Holberg;44;CE;Undistinguished Suit;Medium;unknown;x
26060;Chief of Staff;Nikolay G. Karotamm;41;ST;Undistinguished Suit;Medium;unknown;x
26061;Chief of Army;Alfons Rebane;44;NS;Undistinguished Suit;Medium;unknown;x
26062;Chief of Navy;J. Santpank ;39;LC;Undistinguished Suit;Medium;unknown;x
