IND;Shadow Democrat Cabinet;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
59052;Minister of Armament;Jyoti Basu;37;ST;Administrative Genius;Very High;unknown;x
59004;Minister of Armament;Bhulabhai Desai ;37;LWR;Resource Industrialist;Very High;unknown;x
59053;Minister of Security;Rajendra Prasad ;37;CE;Man of the People;Medium;unknown;x
59054;Minister of Security;Harilal J. Kania ;37;CE;Silent Lawyer;Low;unknown;x
59055;Minister of Security;Sardar Vallabhbhai Patel ;37;LC;Compassionate Gentleman;Medium;unknown;x
59022;Minister of Security;Bhimrao Ramji Ambedkar;37;LE;Man of the People;Very High;unknown;x
59056;Minister of Security;Nawabzada Liaquat Ali Khan;37;FA;Prince of Terror;Very High;unknown;x
59057;Minister of Security;Maneck Homi;37;LE;Man of the People;High;unknown;x
59058;Minister of Security;Badshah Khan Abdul Ghaffar Khan;37;LWR;Man of the People;Very High;unknown;x
59014;Minister of Security;Abid Hasan Safrani;42;PA;Back Stabber ;Medium;unknown;x
59059;Minister of Security;Ajoy Ghosh ;37;ST;Efficient Sociopath ;Very High;unknown;x
59060;Minister of Security;Sardar Vallabhbhai Patel ;47;LC;Compassionate Gentleman;Medium;unknown;x
59061;Head of Military Intelligence;Sardar Vallabhbhai Patel ;37;RS;Industrial Specialist;Low;unknown;x
59062;Head of Military Intelligence;Rafi Ahmed Kidwai;37;LWR;Political Specialist;Medium;unknown;x
59063;Head of Military Intelligence;Homi Jehangir Bhabha ;45;CE;Technical Specialist;Medium;unknown;x
59015;Head of Military Intelligence;Rashbehari Basu ;37;FA;Logistics Specialist;Very High;unknown;x
59064;Head of Military Intelligence;Maneck Homi;37;LE;Political Specialist;Very High;unknown;x
59023;Head of Military Intelligence;Sir Chhotu Ram ;37;LE;Industrial Specialist;High;unknown;x
59065;Head of Military Intelligence;Abid Hasan Safrani;42;PA;Technical Specialist;Low;unknown;x
59066;Chief of Staff;Rajendra Prasad ;37;CE;School of Defense;Low;unknown;x
59067;Chief of Staff;K. M. Cariappa ;37;CE;School of Fire Support;High;unknown;x
59068;Chief of Staff;Agha Muhammad Yahya Khan ;42;FA;School of Fire Support;Low;unknown;x
59069;Chief of Staff;Iskander Mirza ;37;FA;School of Psychology ;High;unknown;x
59070;Chief of Staff;Netaji Subhas Chandra Bose ;39;LWR;School of Psychology ;Medium;unknown;x
59071;Chief of Staff;Mohan Singh;37;LWR;School of Mass Combat;Very Low;unknown;x
59072;Chief of Staff;Sir Gopalaswami Ayyangar;37;LC;School of Defense;High;unknown;x
59016;Chief of Staff;Shah Nawaz Khan ;37;FA;School of Psychology ;Very High;unknown;x
59008;Chief of Army;K. M. Carlappa ;37;CE;Elastic Defense Doctrine;Low;unknown;x
59073;Chief of Army;Maharaj Rajendra Sinhji ;41;PA;Static Defense Doctrine;Medium;unknown;x
59074;Chief of Army;Agha Muhammad Yahya Khan ;37;FA;Armoured Spearhead Doctrine ;Medium;unknown;x
59025;Chief of Army;Mohan Singh;37;LWR;Decisive Battle Doctrine;Very Low;unknown;x
59075;Chief of Army;Ram Singh Thakur;37;LC;Guns and Butter Doctrine;Very High;unknown;x
59017;Chief of Army;Bhonsle;42;FA;Elastic Defense Doctrine;High;unknown;x
59009;Chief of Navy;Ram Dass Katari ;37;CE;Power Projection Doctrine;Medium;unknown;x
59076;Chief of Navy;N.S. Tayabji ;37;CE;Base Control Doctrine;High;unknown;x
59077;Chief of Navy;D.N Mukherji ;37;LC;Indirect Approach Doctrine ;Very High;unknown;x
59078;Chief of Navy;B.S. Soman;42;CE;Decisive Battle Doctrine;Medium;unknown;x
59010;Chief of Air Force;Asghar Khan;37;RS;Vertical Envelopment Doctrine ;Medium;unknown;x
59079;Chief of Air Force;Subroto Mukerjee  ;37;CE;Army Aviation Doctrine;medium;unknown;x
59080;Chief of Air Force;Ravindra Hari Darshan Singh;37;PA;Carpet Bombing Doctrine;High;unknown;x
59081;Chief of Air Force;Aspy Merwan Engineer;43;CE;Naval Aviation Doctrine;medium;unknown;x
59082;Chief of Air Force;Mehar Singh;45;LWR;Air Superiority Doctrine;medium;unknown;x
59083;Chief of Air Force;Karun Krishna Majumdar;37;LWR;Carpet Bombing Doctrine;medium;unknown;x
