MEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Shadow Fascist Cabinet;;;;;;;x
36041;Head of State;Plutarco E. Calles;NA;FA PA LC;NA;NA;unknown;x
36042;Head of Government;Black Shadow;NA;FA;NA;NA;unknown;x
36043;Foreign Minister;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
36044;Minister of Armament;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
36045;Minister of Security;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
36046;Head of Military Intelligence;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
36047;Chief of Staff;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
36048;Chief of Army;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
36049;Chief of Navy;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
36050;Chief of Air Force;Black Shadow;NA;FA;Undistinguished Suit;Medium;unknown;x
;Shadow Communist Cabinet;;;;;;;x
36051;Head of State;Vicente Lombardo Toledano;NA;ST LE LWR;NA;NA;unknown;x
36052;Head of Government;Vicente Lombardo Toledano;NA;LE;NA;NA;unknown;x
36053;Foreign Minister;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
36054;Minister of Armament;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
36055;Minister of Security;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
36056;Head of Military Intelligence;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
36057;Chief of Staff;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
36058;Chief of Army;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
36059;Chief of Navy;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
36060;Chief of Air Force;Red Shadow;NA;LE;Undistinguished Suit;Medium;unknown;x
;Replacements;;;;;;;x
